,Directed Louvain,Leiden,Louvain,Infomap,Oslom
0,12.0,12.0,11.0,1.0,1000.0
1,12.0,11.0,14.0,1.0,1000.0
2,15.0,12.0,13.0,1.0,1000.0
3,13.0,12.0,11.0,1.0,1000.0
4,11.0,10.0,15.0,1.0,1000.0
5,11.0,11.0,14.0,1.0,1000.0
6,14.0,13.0,13.0,1.0,1000.0
7,12.0,12.0,13.0,1.0,1000.0
8,14.0,11.0,13.0,1.0,1000.0
9,12.0,11.0,13.0,1.0,1000.0
10,11.0,11.0,13.0,1.0,1000.0
11,11.0,11.0,12.0,1.0,1000.0
12,14.0,11.0,12.0,1.0,1000.0
13,12.0,11.0,12.0,1.0,1000.0
14,13.0,11.0,12.0,1.0,1000.0
15,13.0,10.0,13.0,1.0,1000.0
16,11.0,11.0,10.0,1.0,1000.0
17,13.0,10.0,12.0,1.0,1000.0
18,12.0,11.0,12.0,1.0,1000.0
19,13.0,10.0,12.0,1.0,1000.0
20,12.0,10.0,12.0,1.0,1000.0
21,12.0,10.0,14.0,1.0,1000.0
22,12.0,13.0,13.0,1.0,1000.0
23,11.0,12.0,13.0,1.0,1000.0
24,12.0,10.0,11.0,1.0,1000.0
25,13.0,12.0,14.0,1.0,1000.0
26,11.0,10.0,14.0,1.0,1000.0
27,13.0,12.0,13.0,1.0,1000.0
28,11.0,12.0,12.0,1.0,1000.0
29,12.0,13.0,12.0,1.0,1000.0
30,14.0,12.0,12.0,1.0,1000.0
31,12.0,10.0,12.0,1.0,1000.0
32,13.0,10.0,11.0,1.0,1000.0
33,13.0,12.0,11.0,1.0,1000.0
34,12.0,11.0,11.0,1.0,1000.0
35,13.0,12.0,12.0,1.0,1000.0
36,13.0,12.0,14.0,1.0,1000.0
37,12.0,12.0,12.0,1.0,1000.0
38,14.0,12.0,12.0,1.0,1000.0
39,13.0,12.0,12.0,1.0,1000.0
40,11.0,12.0,13.0,1.0,1000.0
41,15.0,11.0,14.0,1.0,1000.0
42,12.0,12.0,13.0,1.0,1000.0
43,12.0,11.0,11.0,1.0,1000.0
44,12.0,12.0,15.0,1.0,1000.0
45,11.0,11.0,14.0,1.0,1000.0
46,13.0,11.0,12.0,1.0,1000.0
47,13.0,11.0,12.0,1.0,1000.0
48,10.0,10.0,14.0,1.0,1000.0
49,11.0,11.0,12.0,1.0,1000.0
50,12.0,13.0,12.0,1.0,1000.0
51,15.0,12.0,12.0,1.0,1000.0
52,14.0,12.0,12.0,1.0,1000.0
53,12.0,12.0,12.0,1.0,1000.0
54,13.0,13.0,12.0,1.0,1000.0
55,12.0,12.0,13.0,1.0,1000.0
56,14.0,12.0,12.0,1.0,1000.0
57,12.0,11.0,12.0,1.0,1000.0
58,11.0,12.0,12.0,1.0,1000.0
59,13.0,13.0,12.0,1.0,1000.0
60,11.0,11.0,12.0,1.0,1000.0
61,13.0,11.0,13.0,1.0,1000.0
62,15.0,13.0,12.0,1.0,1000.0
63,13.0,11.0,11.0,1.0,1000.0
64,12.0,12.0,11.0,1.0,1000.0
65,11.0,10.0,13.0,1.0,1000.0
66,11.0,10.0,13.0,1.0,1000.0
67,10.0,12.0,11.0,1.0,1000.0
68,14.0,14.0,12.0,1.0,1000.0
69,13.0,12.0,11.0,1.0,1000.0
70,11.0,11.0,11.0,1.0,1000.0
71,13.0,12.0,12.0,1.0,1000.0
72,11.0,12.0,14.0,1.0,1000.0
73,13.0,11.0,13.0,1.0,1000.0
74,13.0,12.0,13.0,1.0,1000.0
75,13.0,11.0,12.0,1.0,1000.0
76,14.0,11.0,13.0,1.0,1000.0
77,11.0,12.0,12.0,1.0,1000.0
78,13.0,12.0,12.0,1.0,1000.0
79,13.0,12.0,11.0,1.0,1000.0
80,12.0,11.0,12.0,1.0,1000.0
81,13.0,11.0,11.0,1.0,1000.0
82,13.0,11.0,13.0,1.0,1000.0
83,14.0,10.0,12.0,1.0,1000.0
84,11.0,11.0,12.0,1.0,1000.0
85,12.0,10.0,12.0,1.0,1000.0
86,13.0,11.0,12.0,1.0,1000.0
87,12.0,11.0,12.0,1.0,1000.0
88,12.0,13.0,12.0,1.0,1000.0
89,12.0,12.0,13.0,1.0,1000.0
90,11.0,10.0,12.0,1.0,1000.0
91,12.0,12.0,13.0,1.0,1000.0
92,13.0,11.0,13.0,1.0,1000.0
93,13.0,11.0,12.0,1.0,1000.0
94,14.0,11.0,11.0,1.0,1000.0
95,12.0,12.0,13.0,1.0,1000.0
96,12.0,13.0,12.0,1.0,1000.0
97,14.0,10.0,12.0,1.0,1000.0
98,11.0,11.0,10.0,1.0,1000.0
99,13.0,11.0,12.0,1.0,1000.0
