,fs,rand,method
0,0.8290932675778587,0.9963494298859771,louvain
1,0.8212660852761703,0.9961792358471694,louvain
2,0.8244573643887104,0.9962513302660531,louvain
3,0.8291001078007937,0.9962438087617523,louvain
4,0.8260181277532659,0.9962486897379476,louvain
5,0.8182084538631826,0.9961008201640328,louvain
6,0.8031383064430654,0.9958028405681135,louvain
7,0.8372162749000337,0.9965091418283657,louvain
8,0.8162486919097209,0.9961177035407082,louvain
9,0.8333435051942698,0.9964301660332066,louvain
10,0.8289259233027457,0.996352950590118,louvain
11,0.82191908694689,0.9962366073214642,louvain
12,0.8071695155456861,0.9958598919783955,louvain
13,0.8206932913116189,0.9961950790158031,louvain
14,0.8256549688525138,0.9961811562312463,louvain
15,0.8197651889559918,0.9962179635927185,louvain
16,0.8078121979199321,0.9958394078815763,louvain
17,0.826525031237261,0.9962555711142228,louvain
18,0.819336420468301,0.9962168433686737,louvain
19,0.8283858412239161,0.9963304660932185,louvain
20,0.8326911461475474,0.9964786557311461,louvain
21,0.8192952968801136,0.9960657731546309,louvain
22,0.812528659259962,0.9959902380476094,louvain
23,0.8278354814409553,0.996261652330466,louvain
24,0.8248973845255017,0.9963336667333466,louvain
25,0.829923506034616,0.9963098219643928,louvain
26,0.8193491783734645,0.9960813762752551,louvain
27,0.8234397508984942,0.9962079615923184,louvain
28,0.81702473049892,0.9959536707341469,louvain
29,0.8327474603025209,0.9964730546109221,louvain
30,0.8241123870989276,0.9963105421084216,louvain
31,0.8241483006131493,0.9961957991598319,louvain
32,0.8277798511031592,0.9962638927785558,louvain
33,0.8201843453297142,0.9959923984796958,louvain
34,0.8319448332507761,0.9964520904180835,louvain
35,0.8258457126034969,0.9962712542508502,louvain
36,0.8325415905616257,0.9964691338267654,louvain
37,0.8212100849409811,0.9961695539107821,louvain
38,0.8392608380894708,0.9964343268653729,louvain
39,0.8167789902135095,0.9960610522104419,louvain
40,0.8237474477745617,0.996188277655531,louvain
41,0.820829814854985,0.9960573714742947,louvain
42,0.8275737669777558,0.99625925185037,louvain
43,0.8244236536778724,0.996268773754751,louvain
44,0.8286945542363919,0.9963409481896378,louvain
45,0.8250243000923178,0.9961477095419083,louvain
46,0.8262946810371049,0.9961950790158031,louvain
47,0.8226089712960937,0.9962662932586516,louvain
48,0.81526941386402,0.9960120824164832,louvain
49,0.819349599516592,0.9961561912382476,louvain
50,0.8323796569067534,0.9964566513302661,louvain
51,0.8219305497677416,0.9961264252850569,louvain
52,0.8283714503759712,0.9963279855971193,louvain
53,0.8154393881525008,0.9960812962592519,louvain
54,0.8296193408665026,0.996312702540508,louvain
55,0.8215053297328099,0.9961539507901579,louvain
56,0.8289348049133392,0.9963689537907582,louvain
57,0.8244780526046492,0.996192278455691,louvain
58,0.8252191482987923,0.9961081816363272,louvain
59,0.806866893278481,0.9957657931586316,louvain
60,0.8290114274864552,0.996289977995599,louvain
61,0.8248632918957727,0.9963304660932185,louvain
62,0.8307250901612547,0.9963515903180636,louvain
63,0.8128157201366678,0.9959508701740348,louvain
64,0.8172452883093118,0.9960947389477895,louvain
65,0.8197855876204725,0.9961526705341067,louvain
66,0.8285190103269526,0.9962953390678134,louvain
67,0.8260085244539496,0.9961768353670734,louvain
68,0.8176764906242036,0.9960508901780355,louvain
69,0.8071538609175106,0.9957986797359472,louvain
70,0.8282857569419776,0.9962678935787156,louvain
71,0.8259510117442085,0.9962495699139827,louvain
72,0.8302993958796162,0.9963401480296058,louvain
73,0.8249171662067755,0.9961486697339467,louvain
