,nmi,rand,sj,fs,method
0,0.9780541376709991,0.993606138107417,10.0,0.9788682765509237,Louvain
1,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Directed Louvain
2,0.9473510321214191,0.9875248650184713,28.0,0.9432754191434428,Leiden
3,0.9725018104596516,0.994496542578384,33.0,0.9453289104355529,Infomap
4,0.886592509279505,0.9719901487164914,82.0,0.8557173028351662,Oslom
5,0.9498589839206251,0.9869944112910866,28.0,0.9440061774533133,Louvain
6,0.9822848070079093,0.9942881500426256,8.0,0.9830740332548523,Directed Louvain
7,0.8460084772521623,0.9416406175996969,116.0,0.8070800071323525,Leiden
8,1.0,1.0,0.0,1.0,Infomap
9,0.8328624165380873,0.9622809510277541,116.0,0.792095598771035,Oslom
10,0.9437047344125163,0.9840769157904706,44.0,0.9284622465356517,Louvain
11,0.8985022964891575,0.9680401629250733,71.0,0.8729054370075707,Directed Louvain
12,0.8929542711155966,0.9711092166335134,72.0,0.8703302902035649,Leiden
13,1.0,1.0,0.0,1.0,Infomap
14,0.850110656462019,0.959884436866534,113.0,0.8048904213657508,Oslom
15,0.9822848070079093,0.9942881500426258,8.0,0.9830740332548523,Louvain
16,1.0,0.9999999999999999,0.0,1.0,Directed Louvain
17,0.9064361963982505,0.9759685516718765,52.0,0.8970139923455291,Leiden
18,0.9914478199759563,0.9982949701619777,8.0,0.9843138042149616,Infomap
19,0.8360860610187724,0.9637965331059962,123.0,0.7928072157786847,Oslom
20,0.9822848070079093,0.9942881500426258,8.0,0.9830740332548523,Louvain
21,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Directed Louvain
22,0.8410360319062157,0.9550345742161599,104.0,0.8126010145612084,Leiden
23,0.9864666576943799,0.9961163209245051,22.0,0.9688373439655382,Infomap
24,0.8513432935815012,0.961333712228853,112.0,0.8017833490860342,Oslom
25,0.9523485984324074,0.9874869754665151,34.0,0.942530202268009,Louvain
26,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Directed Louvain
27,0.8935316520289414,0.9695652173913044,67.0,0.8770770571218036,Leiden
28,0.9760458694512705,0.9949606895898455,28.0,0.952994261774872,Infomap
29,0.8549024609510655,0.9606043383536992,103.0,0.8155010687598292,Oslom
30,0.9672784889288034,0.9914843231978779,16.0,0.966626447321676,Louvain
31,0.9822848070079093,0.9942881500426256,8.0,0.9830740332548523,Directed Louvain
32,0.9502942509222053,0.9898361276877903,26.0,0.9470067900271213,Leiden
