,nmi,rand,sj,fs,method
98,1.0,1.0,0.0,1.0,Infomap
99,1.0,1.0,0.0,1.0,Oslom
100,0.9859983548529624,0.9953313313313313,53.0,0.9658170045663925,Louvain
101,1.0,1.0,0.0,1.0,Directed Louvain
102,0.9986138141107862,0.9998418418418418,2.0,0.9980499999690755,Leiden
103,1.0,1.0,0.0,1.0,Infomap
104,1.0,1.0,0.0,1.0,Oslom
105,0.980882544926245,0.9942422422422422,75.0,0.9527316638309529,Louvain
106,1.0,1.0,0.0,1.0,Directed Louvain
107,0.9881442957060355,0.9974614614614614,33.0,0.976748616448444,Leiden
108,1.0,1.0,0.0,1.0,Infomap
109,1.0,1.0,0.0,1.0,Oslom
110,1.0,1.0,0.0,1.0,Louvain
111,1.0,1.0,0.0,1.0,Directed Louvain
112,0.968957037301487,0.9905505505505505,117.0,0.9250799890660985,Leiden
113,1.0,1.0,0.0,1.0,Infomap
114,1.0,1.0,0.0,1.0,Oslom
115,1.0,1.0,0.0,1.0,Louvain
116,1.0,1.0,0.0,1.0,Directed Louvain
117,0.989385666098104,0.9968108108108108,39.0,0.9768545812484255,Leiden
118,1.0,1.0,0.0,1.0,Infomap
119,1.0,1.0,0.0,1.0,Oslom
120,1.0,1.0,0.0,1.0,Louvain
121,1.0,1.0,0.0,1.0,Directed Louvain
122,0.9835585351861343,0.9952692692692693,57.0,0.962671637006802,Leiden
123,1.0,1.0,0.0,1.0,Infomap
124,1.0,1.0,0.0,1.0,Oslom
125,0.9919948481384471,0.996986986986987,35.0,0.980325511471338,Louvain
126,1.0,1.0,0.0,1.0,Directed Louvain
127,0.9872131309918185,0.9975835835835836,35.0,0.9756655877709356,Leiden
128,1.0,1.0,0.0,1.0,Infomap
129,1.0,1.0,0.0,1.0,Oslom
130,1.0,1.0,0.0,1.0,Louvain
131,1.0,1.0,0.0,1.0,Directed Louvain
132,0.9815836138613124,0.9951731731731731,58.0,0.960709275654296,Leiden
133,1.0,1.0,0.0,1.0,Infomap
134,1.0,1.0,0.0,1.0,Oslom
135,1.0,1.0,0.0,1.0,Louvain
136,1.0,1.0,0.0,1.0,Directed Louvain
137,0.9894306860271526,0.9968328328328329,39.0,0.976862877702732,Leiden
138,1.0,1.0,0.0,1.0,Infomap
139,1.0,1.0,0.0,1.0,Oslom
140,0.9921771516813056,0.9971271271271271,35.0,0.9807550459330785,Louvain
141,1.0,1.0,0.0,1.0,Directed Louvain
142,0.9986138141107862,0.9998418418418418,2.0,0.9980499999690755,Leiden
143,1.0,1.0,0.0,1.0,Infomap
144,1.0,1.0,0.0,1.0,Oslom
145,1.0,1.0,0.0,1.0,Louvain
146,1.0,1.0,0.0,1.0,Directed Louvain
147,0.9854329594968108,0.9957517517517517,62.0,0.9653953243436092,Leiden
148,1.0,1.0,0.0,1.0,Infomap
149,1.0,1.0,0.0,1.0,Oslom
150,0.9924150032245896,0.9972912912912912,33.0,0.9813756934216141,Louvain
151,0.9932681737623734,0.9977977977977978,25.0,0.98379970544919,Directed Louvain
152,0.997254867816431,0.9996956956956957,4.0,0.9961055555245706,Leiden
153,1.0,1.0,0.0,1.0,Infomap
154,1.0,1.0,0.0,1.0,Oslom
155,1.0,1.0,0.0,1.0,Louvain
156,1.0,1.0,0.0,1.0,Directed Louvain
157,0.9882750534538218,0.9975735735735736,35.0,0.9769363733006761,Leiden
158,1.0,1.0,0.0,1.0,Infomap
159,1.0,1.0,0.0,1.0,Oslom
160,1.0,1.0,0.0,1.0,Louvain
161,1.0,1.0,0.0,1.0,Directed Louvain
162,0.9911336383987659,0.9978918918918919,27.0,0.9814220105581628,Leiden
163,1.0,1.0,0.0,1.0,Infomap
164,1.0,1.0,0.0,1.0,Oslom
165,0.9930554019069564,0.9977017017017017,28.0,0.9830808229676354,Louvain
166,0.9930710156118421,0.9976476476476477,25.0,0.983409812919167,Directed Louvain
167,0.9867162051561704,0.9965065065065065,39.0,0.9731863485894653,Leiden
168,1.0,1.0,0.0,1.0,Infomap
