,nmi,rand,sj,fs,method
0,1.0,1.0000000000000002,0.0,1.0,Louvain
1,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
2,0.9864295534867457,0.9962342342342344,51.0,0.9701259894884067,Leiden
3,1.0,1.0000000000000002,0.0,1.0,Infomap
4,1.0,1.0,0.0,1.0,Oslom
5,0.992305432201914,0.9971571571571574,20.0,0.9841482473766466,Louvain
6,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
7,0.9919404853074455,0.9980120120120121,24.0,0.9834099234535069,Leiden
8,1.0,1.0000000000000002,0.0,1.0,Infomap
9,1.0,1.0,0.0,1.0,Oslom
10,1.0,1.0000000000000002,0.0,1.0,Louvain
11,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
12,0.9849163530544642,0.9960480480480483,52.0,0.9688097585957716,Leiden
13,1.0,1.0000000000000002,0.0,1.0,Infomap
14,1.0,1.0,0.0,1.0,Oslom
15,1.0,1.0000000000000002,0.0,1.0,Louvain
16,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
17,0.9828207239775509,0.9945305305305305,52.0,0.9646364260574978,Leiden
18,1.0,1.0000000000000002,0.0,1.0,Infomap
19,1.0,1.0,0.0,1.0,Oslom
20,0.993126246577052,0.9980840840840842,29.0,0.9843225267434431,Louvain
21,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
22,0.9903754985443342,0.9977857857857859,25.0,0.9821048788902125,Leiden
23,1.0,1.0000000000000002,0.0,1.0,Infomap
24,1.0,1.0,0.0,1.0,Oslom
25,1.0,1.0000000000000002,0.0,1.0,Louvain
26,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
27,0.9889976325479946,0.9976916916916919,28.0,0.9795275105672903,Leiden
28,1.0,1.0000000000000002,0.0,1.0,Infomap
29,1.0,1.0,0.0,1.0,Oslom
30,1.0,1.0000000000000002,0.0,1.0,Louvain
31,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
32,0.97766193769787,0.992780780780781,68.0,0.9527838709386096,Leiden
33,1.0,1.0000000000000002,0.0,1.0,Infomap
34,1.0,1.0,0.0,1.0,Oslom
35,1.0,1.0000000000000002,0.0,1.0,Louvain
36,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
37,0.969819068514587,0.9903063063063064,92.0,0.9357895101386937,Leiden
38,1.0,1.0000000000000002,0.0,1.0,Infomap
39,1.0,1.0,0.0,1.0,Oslom
40,0.9910295961947855,0.9965245245245247,28.0,0.9803317320764977,Louvain
41,0.9918338611978605,0.9971371371371373,26.0,0.9820284026643207,Directed Louvain
42,0.9826131222266,0.994996996996997,46.0,0.9660676495545273,Leiden
43,1.0,1.0000000000000002,0.0,1.0,Infomap
44,1.0,1.0,0.0,1.0,Oslom
45,1.0,1.0000000000000002,0.0,1.0,Louvain
46,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
47,0.9933947290562462,0.9981501501501503,22.0,0.9853510051366605,Leiden
48,1.0,1.0000000000000002,0.0,1.0,Infomap
49,1.0,1.0,0.0,1.0,Oslom
50,0.9928864499096622,0.9979519519519521,31.0,0.9837559744033536,Louvain
51,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
52,0.9814559980346471,0.9947687687687689,48.0,0.9642022736706019,Leiden
53,1.0,1.0000000000000002,0.0,1.0,Infomap
54,1.0,1.0,0.0,1.0,Oslom
55,1.0,1.0000000000000002,0.0,1.0,Louvain
56,0.9910295961947855,0.9965245245245247,28.0,0.9803317320764977,Directed Louvain
57,0.9852952694403999,0.9955435435435437,53.0,0.9677149512742136,Leiden
58,1.0,1.0000000000000002,0.0,1.0,Infomap
59,1.0,1.0,0.0,1.0,Oslom
60,1.0,1.0000000000000002,0.0,1.0,Louvain
61,0.9923945024585639,0.9974014014014015,22.0,0.983714335901232,Directed Louvain
62,0.9889156236289784,0.9976176176176177,28.0,0.9795243109012186,Leiden
63,1.0,1.0000000000000002,0.0,1.0,Infomap
64,1.0,1.0,0.0,1.0,Oslom
65,1.0,1.0000000000000002,0.0,1.0,Louvain
66,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
67,0.9747311450736815,0.9925325325325326,71.0,0.9498339786137479,Leiden
68,1.0,1.0000000000000002,0.0,1.0,Infomap
69,1.0,1.0,0.0,1.0,Oslom
70,1.0,1.0000000000000002,0.0,1.0,Louvain
71,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
72,0.9933947290562462,0.9981501501501503,22.0,0.9853510051366605,Leiden
73,1.0,1.0000000000000002,0.0,1.0,Infomap
74,1.0,1.0,0.0,1.0,Oslom
75,1.0,1.0000000000000002,0.0,1.0,Louvain
76,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
77,0.9745622897235295,0.9904484484484486,75.0,0.9463347433583141,Leiden
78,1.0,1.0000000000000002,0.0,1.0,Infomap
79,1.0,1.0,0.0,1.0,Oslom
80,1.0,1.0000000000000002,0.0,1.0,Louvain
81,1.0,1.0000000000000002,0.0,1.0,Directed Louvain
82,0.9752701615760578,0.9926706706706708,66.0,0.9508682483740776,Leiden
83,1.0,1.0000000000000002,0.0,1.0,Infomap
84,1.0,1.0,0.0,1.0,Oslom
