,fs,rand,method
0,1.0,1.0,louvain
1,1.0,1.0,louvain
2,0.9841482473766466,0.9971571571571571,louvain
3,1.0,1.0,louvain
4,1.0,1.0,louvain
5,0.9843225267434431,0.9980840840840841,louvain
6,1.0,1.0,louvain
7,1.0,1.0,louvain
8,1.0,1.0,louvain
9,0.9803317320764977,0.9965245245245244,louvain
10,1.0,1.0,louvain
11,0.9837559744033536,0.997951951951952,louvain
12,1.0,1.0,louvain
13,1.0,1.0,louvain
14,1.0,1.0,louvain
15,1.0,1.0,louvain
16,1.0,1.0,louvain
17,1.0,1.0,louvain
18,1.0,1.0,louvain
19,0.9829129373474369,0.9976456456456455,louvain
20,1.0,1.0,louvain
21,0.984645864289252,0.9975175175175175,louvain
22,1.0,1.0,louvain
23,1.0,1.0,louvain
24,0.9848368028784374,0.9976376376376375,louvain
25,1.0,1.0,louvain
26,0.9770286090998989,0.9959539539539539,louvain
27,1.0,1.0,louvain
28,1.0,1.0,louvain
29,1.0,1.0,louvain
30,1.0,1.0,louvain
31,1.0,1.0,louvain
32,1.0,1.0,louvain
33,1.0,1.0,louvain
34,0.9829129373474369,0.9976456456456455,louvain
35,1.0,1.0,louvain
36,1.0,1.0,louvain
37,1.0,1.0,louvain
38,1.0,1.0,louvain
39,1.0,1.0,louvain
40,0.9806439518207807,0.9966926926926927,louvain
41,1.0,1.0,louvain
42,1.0,1.0,louvain
43,1.0,1.0,louvain
44,1.0,1.0,louvain
45,1.0,1.0,louvain
46,0.9848368028784374,0.9976376376376375,louvain
47,1.0,1.0,louvain
48,1.0,1.0,louvain
49,1.0,1.0,louvain
50,1.0,1.0,louvain
51,1.0,1.0,louvain
52,1.0,1.0,louvain
53,1.0,1.0,louvain
54,1.0,1.0,louvain
55,1.0,1.0,louvain
56,1.0,1.0,louvain
57,1.0,1.0,louvain
58,0.9788903267550955,0.9958198198198198,louvain
59,0.9829129373474369,0.9976456456456455,louvain
60,1.0,1.0,louvain
61,1.0,1.0,louvain
62,0.9851150202976996,0.9977977977977976,louvain
63,0.9827497277780962,0.9975895895895894,louvain
64,1.0,1.0,louvain
65,1.0,1.0,louvain
66,1.0,1.0,louvain
67,1.0,1.0,louvain
68,1.0,1.0,louvain
69,1.0,1.0,louvain
70,1.0,1.0,louvain
71,0.9853510051366605,0.9981501501501502,louvain
72,1.0,1.0,louvain
73,1.0,1.0,louvain
74,1.0,1.0,louvain
75,1.0,1.0,louvain
76,1.0,1.0,louvain
77,1.0,1.0,louvain
78,0.9554825828245431,0.9922422422422421,louvain
79,1.0,1.0,louvain
80,1.0,1.0,louvain
81,1.0,1.0,louvain
82,1.0,1.0,louvain
83,1.0,1.0,louvain
84,1.0,1.0,louvain
85,1.0,1.0,louvain
86,1.0,1.0,louvain
87,1.0,1.0,louvain
88,1.0,1.0,louvain
89,0.965755602061468,0.9945025025025025,louvain
90,0.9841482473766466,0.9971571571571571,louvain
91,1.0,1.0,louvain
92,1.0,1.0,louvain
93,1.0,1.0,louvain
94,1.0,1.0,louvain
95,1.0,1.0,louvain
96,1.0,1.0,louvain
97,1.0,1.0,louvain
98,1.0,1.0,louvain
99,1.0,1.0,louvain
0,1.0,1.0,directed louvain
1,1.0,1.0,directed louvain
2,1.0,1.0,directed louvain
3,1.0,1.0,directed louvain
4,1.0,1.0,directed louvain
5,1.0,1.0,directed louvain
6,1.0,1.0,directed louvain
7,1.0,1.0,directed louvain
8,1.0,1.0,directed louvain
9,0.9820284026643207,0.9971371371371371,directed louvain
10,1.0,1.0,directed louvain
11,1.0,1.0,directed louvain
12,0.9803317320764977,0.9965245245245244,directed louvain
