,fs,rand,method
0,1.0,1.0,louvain
1,1.0,1.0,louvain
2,1.0,1.0,louvain
3,1.0,1.0,louvain
4,1.0,1.0,louvain
5,1.0,1.0,louvain
6,1.0,1.0,louvain
7,1.0,1.0,louvain
8,1.0,1.0,louvain
9,1.0,1.0,louvain
10,1.0,1.0,louvain
11,1.0,1.0,louvain
12,1.0,1.0,louvain
13,1.0,1.0,louvain
14,1.0,1.0,louvain
15,1.0,1.0,louvain
16,1.0,1.0,louvain
17,1.0,1.0,louvain
18,1.0,1.0,louvain
19,1.0,1.0,louvain
20,1.0,1.0,louvain
21,1.0,1.0,louvain
22,1.0,1.0,louvain
23,1.0,1.0,louvain
24,1.0,1.0,louvain
25,1.0,1.0,louvain
26,1.0,1.0,louvain
27,1.0,1.0,louvain
28,1.0,1.0,louvain
29,1.0,1.0,louvain
30,1.0,1.0,louvain
31,1.0,1.0,louvain
32,1.0,1.0,louvain
33,1.0,1.0,louvain
34,1.0,1.0,louvain
35,1.0,1.0,louvain
36,1.0,1.0,louvain
37,1.0,1.0,louvain
38,1.0,1.0,louvain
39,1.0,1.0,louvain
40,1.0,1.0,louvain
41,1.0,1.0,louvain
42,1.0,1.0,louvain
43,1.0,1.0,louvain
44,1.0,1.0,louvain
45,1.0,1.0,louvain
46,1.0,1.0,louvain
47,1.0,1.0,louvain
48,1.0,1.0,louvain
49,1.0,1.0,louvain
50,1.0,1.0,louvain
51,1.0,1.0,louvain
52,1.0,1.0,louvain
53,1.0,1.0,louvain
54,1.0,1.0,louvain
55,1.0,1.0,louvain
56,1.0,1.0,louvain
57,1.0,1.0,louvain
58,1.0,1.0,louvain
59,1.0,1.0,louvain
60,1.0,1.0,louvain
61,1.0,1.0,louvain
62,1.0,1.0,louvain
63,1.0,1.0,louvain
64,1.0,1.0,louvain
65,1.0,1.0,louvain
66,1.0,1.0,louvain
67,1.0,1.0,louvain
68,1.0,1.0,louvain
69,1.0,1.0,louvain
70,1.0,1.0,louvain
71,1.0,1.0,louvain
72,1.0,1.0,louvain
73,1.0,1.0,louvain
74,1.0,1.0,louvain
75,1.0,1.0,louvain
76,1.0,1.0,louvain
77,1.0,1.0,louvain
78,1.0,1.0,louvain
79,1.0,1.0,louvain
80,1.0,1.0,louvain
81,1.0,1.0,louvain
82,1.0,1.0,louvain
83,1.0,1.0,louvain
84,1.0,1.0,louvain
85,1.0,1.0,louvain
86,1.0,1.0,louvain
87,1.0,1.0,louvain
88,1.0,1.0,louvain
89,1.0,1.0,louvain
90,1.0,1.0,louvain
91,1.0,1.0,louvain
92,1.0,1.0,louvain
93,1.0,1.0,louvain
94,1.0,1.0,louvain
95,1.0,1.0,louvain
96,1.0,1.0,louvain
97,1.0,1.0,louvain
98,1.0,1.0,louvain
99,1.0,1.0,louvain
0,1.0,1.0,directed louvain
1,1.0,1.0,directed louvain
2,1.0,1.0,directed louvain
3,1.0,1.0,directed louvain
4,1.0,1.0,directed louvain
5,1.0,1.0,directed louvain
6,1.0,1.0,directed louvain
7,1.0,1.0,directed louvain
8,1.0,1.0,directed louvain
9,1.0,1.0,directed louvain
10,1.0,1.0,directed louvain
11,1.0,1.0,directed louvain
12,1.0,1.0,directed louvain
13,1.0,1.0,directed louvain
14,1.0,1.0,directed louvain
15,1.0,1.0,directed louvain
16,1.0,1.0,directed louvain
17,1.0,1.0,directed louvain
18,1.0,1.0,directed louvain
19,1.0,1.0,directed louvain
20,1.0,1.0,directed louvain
21,1.0,1.0,directed louvain
22,1.0,1.0,directed louvain
23,1.0,1.0,directed louvain
24,1.0,1.0,directed louvain
25,1.0,1.0,directed louvain
26,1.0,1.0,directed louvain
