,fs,rand,method
0,0.6163572314791337,0.993152550510102,louvain
1,0.6095487516858642,0.9927652730546109,louvain
2,0.6090998254036225,0.9926850170034007,louvain
3,0.6281825798636386,0.9933143428685737,louvain
4,0.6138134079438826,0.9930334066813362,louvain
5,0.6093602928844787,0.9927645529105821,louvain
6,0.6170171109082373,0.9927791958391678,louvain
7,0.6038666578538143,0.99264724944989,louvain
8,0.6026772768091382,0.9925113022604521,louvain
9,0.6159259291234201,0.9928836167233447,louvain
10,0.6058526389771052,0.9928683336667333,louvain
11,0.6145928789705237,0.993108701740348,louvain
12,0.6029762951392017,0.992528825765153,louvain
13,0.6039773490711087,0.9927742348469694,louvain
14,0.6038818950741482,0.9927416683336667,louvain
15,0.5987436386547548,0.9925723544708942,louvain
16,0.6012841736136285,0.99290450090018,louvain
17,0.608790054010836,0.9928233646729346,louvain
18,0.6006205855138631,0.9927719143828766,louvain
19,0.6101577001778486,0.9929009801960392,louvain
20,0.6220541016241583,0.9931859171834366,louvain
21,0.6114024245064487,0.9929859571914382,louvain
22,0.6023104180363179,0.9924265653130626,louvain
23,0.608655491083648,0.992751350270054,louvain
24,0.6088233817063964,0.9925866773354671,louvain
25,0.61851575110081,0.9930835767153431,louvain
26,0.6030015178227656,0.9924333666733347,louvain
27,0.6123927384107015,0.9931247849569914,louvain
28,0.6020060557755943,0.9926084416883376,louvain
29,0.6212144226942107,0.9929489897979595,louvain
30,0.5981127205302018,0.992673574714943,louvain
31,0.616303690912889,0.9931787957591518,louvain
32,0.5979734835382541,0.9925013802760552,louvain
33,0.6057769931209817,0.9926336467293458,louvain
34,0.6075701677182844,0.992857851570314,louvain
35,0.6150680032927137,0.9930338067613522,louvain
36,0.6096823391900508,0.9929719543908782,louvain
37,0.6067615045132545,0.9927643928785758,louvain
38,0.6066396637333583,0.9929621124224844,louvain
39,0.6070496228183395,0.9926948589717943,louvain
40,0.6151291449534411,0.9930642128425685,louvain
41,0.6126861992877815,0.9927614322864573,louvain
42,0.6047593799009756,0.9924951390278055,louvain
43,0.6025600166014885,0.9927670334066814,louvain
44,0.6030174703280479,0.9926402880576115,louvain
45,0.6152197683255565,0.9930250850170034,louvain
46,0.6068399492272769,0.99285225045009,louvain
47,0.6055535986423761,0.9929530706141229,louvain
48,0.6143470690864216,0.992905701140228,louvain
49,0.612956458654945,0.9931439887977596,louvain
50,0.5953965302145813,0.9926486097219444,louvain
51,0.6127715241101173,0.9926056411282257,louvain
52,0.6162324765582587,0.9932384076815363,louvain
53,0.6249880149978039,0.993224724944989,louvain
54,0.6053136161331754,0.9929294658931787,louvain
55,0.60528923067495,0.99285425085017,louvain
56,0.6014503019378944,0.9924173634726945,louvain
57,0.6060159988100358,0.9927215043008601,louvain
58,0.6028344196358806,0.9928208041608322,louvain
59,0.6112703417399704,0.9926919783956791,louvain
60,0.5955880110548755,0.9924862572514502,louvain
61,0.6110607634524018,0.9926911782356471,louvain
62,0.6103637195826467,0.993182876575315,louvain
63,0.602968592439776,0.9924582516503301,louvain
64,0.5984858822494262,0.9927259851970394,louvain
65,0.6008511652141366,0.9923243848769754,louvain
66,0.6119188310934912,0.9930069213842768,louvain
67,0.6067096444423821,0.9926694138827765,louvain
68,0.6143260832033588,0.9928623324664932,louvain
69,0.6103414354614348,0.9929027405481096,louvain
70,0.6107945079561983,0.9928684936987398,louvain
71,0.6159378820794194,0.9929357071414283,louvain
72,0.604629383736292,0.9925145829165833,louvain
73,0.6184028950151125,0.9932776155231046,louvain
74,0.6008692902967313,0.9925550710142028,louvain
75,0.606086291296464,0.992850650130026,louvain
76,0.6185073295091054,0.9932055211042209,louvain
77,0.6049374068826399,0.9925690738147629,louvain
78,0.5898110126839101,0.9923654330866173,louvain
79,0.5976783048794917,0.9925422684536908,louvain
80,0.6133791673899522,0.9928457691538307,louvain
81,0.5983788953388596,0.9922991798359672,louvain
82,0.6037698396345692,0.9927717543508702,louvain
83,0.6111239057339845,0.9928740148029606,louvain
84,0.602390983275412,0.9927239047809562,louvain
85,0.626578405411913,0.9932428885777156,louvain
86,0.6097103687017544,0.9927598319663933,louvain
87,0.6023033923459159,0.9926907781556311,louvain
88,0.6108064179829097,0.9929717943588717,louvain
89,0.6050283956996074,0.9926682936587318,louvain
90,0.5988362897721505,0.9924419283856771,louvain
91,0.6056865510520226,0.992806801360272,louvain
92,0.5908839496562606,0.9923617523504701,louvain
93,0.5859150950690819,0.9922852570514102,louvain
94,0.6156719952057603,0.9929257851570314,louvain
95,0.6120945782991817,0.9924449689937987,louvain
96,0.6153268773337097,0.9928052810562112,louvain
97,0.5994915909685162,0.9925629125825165,louvain
98,0.5982667913917602,0.9926434886977396,louvain
99,0.6067993506791373,0.9927534306861372,louvain
0,0.6223344245943098,0.9931303060612122,directed louvain
1,0.61306551355427,0.9929689137827565,directed louvain
2,0.6122497191177906,0.9927029405881176,directed louvain
3,0.6133311271894999,0.9931480696139228,directed louvain
4,0.6032649431523248,0.9927620724144829,directed louvain
5,0.6115850408325253,0.9924802560512103,directed louvain
6,0.6147366966945788,0.9928941788357671,directed louvain
7,0.6222626254591356,0.9929365073014603,directed louvain
8,0.6116811560300344,0.99269349869974,directed louvain
9,0.6155927746975515,0.9926756551310262,directed louvain
10,0.613977826976162,0.9930650930186037,directed louvain
11,0.6118662392754117,0.9930332466493299,directed louvain
12,0.6116892811966255,0.9929497099419884,directed louvain
13,0.6109172142076311,0.9930698139627926,directed louvain
14,0.6008295784350255,0.9927351870374075,directed louvain
15,0.6080577739977325,0.9927699139827966,directed louvain
16,0.6065925676148122,0.9929231446289257,directed louvain
17,0.6021492528218607,0.992600600120024,directed louvain
18,0.6009590660476514,0.9924188037607521,directed louvain
19,0.6006455378610392,0.9925692338467693,directed louvain
20,0.6064319550672226,0.992777675535107,directed louvain
21,0.6100357721479515,0.9925411482296459,directed louvain
22,0.6008118092319101,0.9925693938787757,directed louvain
23,0.6112635470198613,0.9928110422084416,directed louvain
24,0.6154404473649661,0.9928525705141028,directed louvain
25,0.6132327775277486,0.9929457091418283,directed louvain
26,0.6028551627381779,0.9924939387877575,directed louvain
27,0.6099091367891769,0.9931221444288858,directed louvain
28,0.6125679795794916,0.9929296259251851,directed louvain
29,0.6068189474218021,0.9928872974594919,directed louvain
30,0.6058448939150962,0.9928624124824965,directed louvain
31,0.6091830253562552,0.9926110822164432,directed louvain
32,0.6065439017542793,0.9929105821164232,directed louvain
33,0.5971828762684916,0.9925063412682537,directed louvain
34,0.6213509697960335,0.993302900580116,directed louvain
35,0.6133400397902977,0.9930793358671735,directed louvain
36,0.6074086019680051,0.9925925985197039,directed louvain
37,0.6215307932933362,0.9931275855171035,directed louvain
38,0.6082334049409143,0.9926587717543509,directed louvain
39,0.6108438575239583,0.9928786557311462,directed louvain
40,0.6167412874545093,0.9928677735547109,directed louvain
41,0.6113306341164213,0.9926173234646929,directed louvain
42,0.6089609352516361,0.9928022404480896,directed louvain
43,0.610602735154143,0.993018123624725,directed louvain
44,0.615901590626711,0.9931122224444889,directed louvain
45,0.6031038705859509,0.992525225045009,directed louvain
46,0.6077642979660858,0.9928500100020003,directed louvain
47,0.6069329631468523,0.9928211242248449,directed louvain
48,0.6240940665896262,0.9932113622724544,directed louvain
49,0.6228517436174706,0.9928904980996199,directed louvain
50,0.6151360819627266,0.9928716143228645,directed louvain
51,0.6063951383861632,0.9928204040808162,directed louvain
52,0.61103439396065,0.992642048409682,directed louvain
53,0.6036164210172101,0.9926882976595319,directed louvain
54,0.6216042112357751,0.9929082616523305,directed louvain
55,0.6121212638163819,0.9928908181636327,directed louvain
56,0.6165996369891747,0.9930902180436088,directed louvain
57,0.6047783540234887,0.9927532706541308,directed louvain
58,0.6106608550900694,0.9927041408281656,directed louvain
59,0.5965528933674068,0.9924858571714342,directed louvain
60,0.6149810767179859,0.9929294658931787,directed louvain
61,0.6185241631057844,0.9932244048809762,directed louvain
62,0.6142880210556556,0.9929068213642729,directed louvain
63,0.6109864867090943,0.9929157031406282,directed louvain
64,0.6142162866795519,0.9929505901180236,directed louvain
65,0.6070231403954883,0.9926945389077816,directed louvain
66,0.612223558819053,0.9926115623124625,directed louvain
67,0.6161635240240818,0.993081176235247,directed louvain
68,0.6015642296394152,0.9927580716143228,directed louvain
69,0.6095787871448421,0.9929317063412683,directed louvain
70,0.6021863722352301,0.9927460692138428,directed louvain
71,0.610641758829486,0.993001400280056,directed louvain
72,0.6154151323513849,0.9928288857771554,directed louvain
73,0.6114603607894633,0.9928467293458692,directed louvain
74,0.5936999126305755,0.9924595319063813,directed louvain
75,0.6061786451949532,0.992782876575315,directed louvain
76,0.6109361374894005,0.9929368273654731,directed louvain
77,0.6066953661841954,0.9927671134226845,directed louvain
78,0.6203899014835345,0.992656051210242,directed louvain
79,0.6225287797277571,0.993181676335267,directed louvain
80,0.5983405589843329,0.9923879975995199,directed louvain
81,0.6109108266156529,0.9929613122624524,directed louvain
82,0.607824351377424,0.9927599119823964,directed louvain
83,0.6126221940953361,0.9928420884176835,directed louvain
84,0.6094538140641663,0.992732626525305,directed louvain
85,0.6138340648309722,0.9930409281856372,directed louvain
86,0.6117919284698735,0.9929633126625325,directed louvain
87,0.5980790568971244,0.9925057811562312,directed louvain
88,0.6155933644478102,0.9931094218843769,directed louvain
89,0.604915518947071,0.9927323064612923,directed louvain
90,0.6215349651145295,0.9931961592318463,directed louvain
91,0.6103433539619306,0.9928204040808162,directed louvain
92,0.6115571952146271,0.9929925985197039,directed louvain
93,0.6079015338279242,0.9927271054210842,directed louvain
94,0.5966903232460065,0.992599399879976,directed louvain
95,0.6095045752161354,0.9929638727745549,directed louvain
96,0.6032944168710277,0.9926356471294259,directed louvain
97,0.6016018615184565,0.9928324864972995,directed louvain
98,0.6122951298986943,0.9928427285457091,directed louvain
99,0.6155574102402795,0.992971474294859,directed louvain
0,0.6096267828653539,0.9929585117023404,leiden
1,0.5953162128170645,0.9925182636527305,leiden
2,0.6026043753941157,0.9927845569113822,leiden
3,0.5900434110967495,0.9925817963592718,leiden
4,0.5842187827746677,0.9921074614922984,leiden
5,0.5807163814682054,0.9922817363472695,leiden
6,0.5885479268407907,0.9918799759951991,leiden
7,0.5861148851730966,0.9922469293858771,leiden
