,Directed Louvain,Leiden,Louvain,Infomap,Oslom
0,96.0,92.0,94.0,256.0,256.0
1,93.0,89.0,93.0,256.0,256.0
2,93.0,91.0,92.0,256.0,256.0
3,93.0,88.0,97.0,256.0,256.0
4,91.0,86.0,94.0,256.0,256.0
5,93.0,86.0,93.0,256.0,256.0
6,94.0,87.0,94.0,256.0,256.0
7,96.0,87.0,91.0,256.0,256.0
8,93.0,88.0,91.0,256.0,256.0
9,94.0,86.0,94.0,256.0,256.0
10,93.0,93.0,92.0,256.0,256.0
11,93.0,88.0,94.0,256.0,256.0
12,93.0,85.0,91.0,256.0,256.0
13,93.0,88.0,92.0,256.0,256.0
14,90.0,96.0,92.0,256.0,256.0
15,92.0,85.0,90.0,256.0,256.0
16,91.0,89.0,91.0,256.0,256.0
17,91.0,91.0,92.0,256.0,256.0
18,90.0,88.0,91.0,256.0,256.0
19,90.0,89.0,93.0,256.0,256.0
20,92.0,88.0,96.0,256.0,256.0
21,92.0,90.0,93.0,256.0,256.0
22,91.0,91.0,91.0,255.0,256.0
23,93.0,88.0,93.0,256.0,256.0
24,94.0,90.0,92.0,256.0,256.0
25,93.0,83.0,95.0,256.0,256.0
26,91.0,91.0,91.0,256.0,256.0
27,93.0,89.0,94.0,256.0,256.0
28,93.0,88.0,91.0,256.0,256.0
29,92.0,88.0,95.0,256.0,256.0
30,92.0,91.0,90.0,256.0,256.0
31,92.0,84.0,94.0,256.0,256.0
32,92.0,89.0,90.0,256.0,256.0
33,89.0,89.0,92.0,256.0,256.0
34,96.0,87.0,92.0,256.0,256.0
35,94.0,86.0,94.0,256.0,256.0
36,92.0,84.0,93.0,256.0,256.0
37,96.0,89.0,92.0,256.0,256.0
38,92.0,87.0,92.0,256.0,256.0
39,93.0,91.0,92.0,256.0,256.0
40,94.0,87.0,94.0,256.0,256.0
41,93.0,91.0,93.0,256.0,256.0
42,92.0,85.0,91.0,256.0,256.0
43,93.0,84.0,91.0,256.0,256.0
44,94.0,92.0,91.0,256.0,256.0
45,91.0,87.0,94.0,256.0,256.0
46,92.0,87.0,92.0,256.0,256.0
47,92.0,91.0,92.0,256.0,256.0
48,96.0,88.0,94.0,256.0,256.0
49,96.0,85.0,94.0,256.0,256.0
50,94.0,88.0,90.0,256.0,256.0
51,92.0,84.0,93.0,256.0,256.0
52,93.0,86.0,94.0,256.0,256.0
53,91.0,90.0,96.0,256.0,256.0
54,96.0,87.0,92.0,256.0,256.0
55,93.0,86.0,92.0,256.0,256.0
56,94.0,87.0,91.0,256.0,256.0
57,91.0,92.0,92.0,256.0,256.0
58,93.0,89.0,91.0,256.0,256.0
59,90.0,83.0,93.0,256.0,256.0
60,94.0,90.0,89.0,256.0,256.0
61,95.0,90.0,93.0,256.0,256.0
62,94.0,88.0,93.0,256.0,256.0
63,93.0,89.0,91.0,256.0,256.0
64,94.0,85.0,90.0,256.0,256.0
65,92.0,89.0,91.0,256.0,256.0
66,93.0,88.0,93.0,256.0,256.0
67,94.0,88.0,92.0,256.0,256.0
68,91.0,85.0,94.0,256.0,256.0
69,93.0,91.0,93.0,256.0,256.0
70,91.0,89.0,93.0,256.0,256.0
71,93.0,90.0,94.0,256.0,256.0
72,94.0,92.0,92.0,256.0,256.0
73,93.0,89.0,95.0,256.0,256.0
74,89.0,86.0,91.0,256.0,256.0
75,92.0,85.0,92.0,256.0,256.0
76,93.0,85.0,95.0,256.0,256.0
77,92.0,88.0,92.0,256.0,256.0
78,95.0,89.0,88.0,256.0,256.0
79,96.0,88.0,90.0,256.0,256.0
80,90.0,89.0,94.0,256.0,256.0
81,93.0,89.0,90.0,256.0,256.0
82,92.0,91.0,91.0,256.0,256.0
83,93.0,89.0,93.0,256.0,256.0
84,93.0,89.0,91.0,256.0,256.0
85,94.0,92.0,97.0,256.0,256.0
86,93.0,85.0,93.0,256.0,256.0
87,90.0,85.0,91.0,256.0,256.0
88,94.0,91.0,93.0,256.0,256.0
89,91.0,90.0,91.0,256.0,256.0
90,96.0,89.0,90.0,256.0,256.0
91,93.0,93.0,92.0,256.0,256.0
92,93.0,90.0,89.0,256.0,256.0
93,92.0,87.0,87.0,256.0,256.0
94,90.0,90.0,94.0,256.0,256.0
95,93.0,88.0,93.0,256.0,256.0
96,91.0,88.0,94.0,256.0,256.0
97,90.0,87.0,90.0,256.0,256.0
98,93.0,90.0,90.0,256.0,256.0
99,94.0,85.0,92.0,256.0,256.0
