,nmi,rand,sj,fs,method
0,0.08205197068710683,0.8417877877877878,1597.0,0.12188305735347296,Louvain
1,0.10231472262224427,0.8403063063063063,1518.0,0.13957767382629013,Directed Louvain
2,0.09445903856255333,0.8380700700700701,1529.0,0.14032092618002173,Leiden
3,1.0,1.0,0.0,1.0,Infomap
4,1.0,1.0,0.0,1.0,Oslom
5,0.07213856272685565,0.8338258258258259,1575.0,0.12528206065345637,Louvain
6,0.09748040045980413,0.8548528528528528,1593.0,0.12047247109771844,Directed Louvain
7,0.08400244461050872,0.8424384384384385,1575.0,0.12817734650077717,Leiden
8,1.0,1.0,0.0,1.0,Infomap
9,1.0,1.0,0.0,1.0,Oslom
10,0.05803166165000583,0.8203163163163164,1589.0,0.1268185474014179,Louvain
11,0.07747460116769736,0.8421181181181182,1571.0,0.12205541088518435,Directed Louvain
12,0.07396025191504917,0.8433333333333333,1587.0,0.12160283081990143,Leiden
13,1.0,1.0,0.0,1.0,Infomap
14,1.0,1.0,0.0,1.0,Oslom
15,0.08148238134444982,0.8426686686686686,1611.0,0.11635456585260422,Louvain
16,0.06931562057577816,0.8375475475475476,1606.0,0.12277551886428786,Directed Louvain
17,0.05683875828506881,0.8251591591591592,1586.0,0.125563173250515,Leiden
18,1.0,1.0,0.0,1.0,Infomap
19,1.0,1.0,0.0,1.0,Oslom
20,0.07586161247188752,0.8416456456456456,1589.0,0.1190636254371704,Louvain
21,0.0775548417426617,0.8365445445445445,1564.0,0.12815930175792664,Directed Louvain
22,0.06592171036626883,0.8357517517517516,1579.0,0.12278695778848718,Leiden
23,1.0,1.0,0.0,1.0,Infomap
24,1.0,1.0,0.0,1.0,Oslom
25,0.0852178510302593,0.8358258258258258,1547.0,0.13005985260631384,Louvain
26,0.09898706977894657,0.8521261261261261,1526.0,0.13244139724407358,Directed Louvain
27,0.10009080028141629,0.8461121121121121,1559.0,0.1319645432284327,Leiden
28,1.0,1.0,0.0,1.0,Infomap
29,1.0,1.0,0.0,1.0,Oslom
30,0.07487482821632495,0.8326706706706708,1576.0,0.1261703042681754,Louvain
31,0.08192916466849617,0.839963963963964,1564.0,0.12999712537491662,Directed Louvain
32,0.0779569031459406,0.838972972972973,1578.0,0.1251275212668884,Leiden
33,1.0,1.0,0.0,1.0,Infomap
34,1.0,1.0,0.0,1.0,Oslom
35,0.06957648791054705,0.8321721721721722,1582.0,0.12362611197251357,Louvain
36,0.08950741592084449,0.8471831831831833,1605.0,0.12050273198482657,Directed Louvain
37,0.06229654056819387,0.8288168168168166,1602.0,0.12189622078460986,Leiden
38,1.0,1.0,0.0,1.0,Infomap
39,1.0,1.0,0.0,1.0,Oslom
